Case ID,Activity (event),Activity (knowledge),User ID,Start Time,End Time,move_classification
Case 240233b5-7f84-47ff-8ec2-b78894649a58.json,BEGIN-LINK,JY,240233b5-7f84-47ff-8ec2-b78894649a58.json,2021-09-29 16:28:09,2021-09-29 16:28:10,bad
Case 240233b5-7f84-47ff-8ec2-b78894649a58.json,MOVE-ELEMENT,DY,240233b5-7f84-47ff-8ec2-b78894649a58.json,2021-09-29 16:29:18,2021-09-29 16:29:18,bad
Case 240233b5-7f84-47ff-8ec2-b78894649a58.json,BEGIN-LINK,FY,240233b5-7f84-47ff-8ec2-b78894649a58.json,2021-09-29 16:29:28,2021-09-29 16:29:28,bad
Case 240233b5-7f84-47ff-8ec2-b78894649a58.json,BEGIN-LINK,JA,240233b5-7f84-47ff-8ec2-b78894649a58.json,2021-09-29 16:30:12,2021-09-29 16:30:12,ignore
Case 240233b5-7f84-47ff-8ec2-b78894649a58.json,BEGIN-LINK,AJ,240233b5-7f84-47ff-8ec2-b78894649a58.json,2021-09-29 16:30:15,2021-09-29 16:30:15,good
Case 240233b5-7f84-47ff-8ec2-b78894649a58.json,MOVE-ELEMENT,AJ,240233b5-7f84-47ff-8ec2-b78894649a58.json,2021-09-29 16:30:56,2021-09-29 16:30:56,good
Case 240233b5-7f84-47ff-8ec2-b78894649a58.json,MOVE-ELEMENT,IA,240233b5-7f84-47ff-8ec2-b78894649a58.json,2021-09-29 16:31:10,2021-09-29 16:31:10,good
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,BEGIN-LINK,JJ,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:33:53,2021-09-27 01:33:53,ignore
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,MOVE-ELEMENT,JJ,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:33:58,2021-09-27 01:33:58,ignore
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,MOVE-ELEMENT,HJ,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:33:59,2021-09-27 01:33:59,bad
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,BEGIN-LINK,JY,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:34:36,2021-09-27 01:34:36,bad
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,MOVE-ELEMENT,JH,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:35:10,2021-09-27 01:35:10,ignore
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,MOVE-ELEMENT,IH,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:35:16,2021-09-27 01:35:16,good
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,MOVE-ELEMENT,GI,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:36:02,2021-09-27 01:36:02,ignore
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,MOVE-ELEMENT,HI,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:36:05,2021-09-27 01:36:05,bad
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,BEGIN-LINK,FY,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:36:14,2021-09-27 01:36:14,bad
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,BEGIN-LINK,EA,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:37:24,2021-09-27 01:37:24,good
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,MOVE-ELEMENT,AE,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:38:05,2021-09-27 01:38:05,ignore
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,BEGIN-LINK,AI,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:38:16,2021-09-27 01:38:16,good
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,MOVE-ELEMENT,DI,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:38:46,2021-09-27 01:38:46,bad
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,MOVE-ELEMENT,BI,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:39:10,2021-09-27 01:39:10,bad
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,MOVE-ELEMENT,AI,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:39:55,2021-09-27 01:39:55,good
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,MOVE-ELEMENT,AE,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:40:16,2021-09-27 01:40:16,ignore
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,MOVE-ELEMENT,AI,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:40:19,2021-09-27 01:40:19,good
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,MOVE-ELEMENT,AI,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:40:25,2021-09-27 01:40:25,good
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,MOVE-ELEMENT,AI,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:40:26,2021-09-27 01:40:26,good
Case b6040382-973d-434c-8d69-ffe682aa06ed.json,MOVE-ELEMENT,AI,b6040382-973d-434c-8d69-ffe682aa06ed.json,2021-09-27 01:40:45,2021-09-27 01:40:45,good
Case 0bda2331-f590-4b16-9409-b2d22411b1ca.json,BEGIN-LINK,DY,0bda2331-f590-4b16-9409-b2d22411b1ca.json,2021-09-27 18:30:09,2021-09-27 18:30:09,bad
Case 0bda2331-f590-4b16-9409-b2d22411b1ca.json,MOVE-ELEMENT,AY,0bda2331-f590-4b16-9409-b2d22411b1ca.json,2021-09-27 18:30:13,2021-09-27 18:30:13,bad
Case 0bda2331-f590-4b16-9409-b2d22411b1ca.json,BEGIN-LINK,IY,0bda2331-f590-4b16-9409-b2d22411b1ca.json,2021-09-27 18:30:17,2021-09-27 18:30:17,bad
Case 0bda2331-f590-4b16-9409-b2d22411b1ca.json,BEGIN-LINK,AA,0bda2331-f590-4b16-9409-b2d22411b1ca.json,2021-09-27 18:31:15,2021-09-27 18:31:15,ignore
Case 0bda2331-f590-4b16-9409-b2d22411b1ca.json,BEGIN-LINK,AJ,0bda2331-f590-4b16-9409-b2d22411b1ca.json,2021-09-27 18:31:47,2021-09-27 18:31:47,good
Case 0bda2331-f590-4b16-9409-b2d22411b1ca.json,BEGIN-LINK,EA,0bda2331-f590-4b16-9409-b2d22411b1ca.json,2021-09-27 18:31:56,2021-09-27 18:31:56,good
Case 0bda2331-f590-4b16-9409-b2d22411b1ca.json,MOVE-ELEMENT,IA,0bda2331-f590-4b16-9409-b2d22411b1ca.json,2021-09-27 18:34:25,2021-09-27 18:34:25,good
Case 0bda2331-f590-4b16-9409-b2d22411b1ca.json,MOVE-ELEMENT,IA,0bda2331-f590-4b16-9409-b2d22411b1ca.json,2021-09-27 18:34:57,2021-09-27 18:34:57,good
Case 0bda2331-f590-4b16-9409-b2d22411b1ca.json,MOVE-ELEMENT,IY,0bda2331-f590-4b16-9409-b2d22411b1ca.json,2021-09-27 18:34:58,2021-09-27 18:34:58,bad
Case 0bda2331-f590-4b16-9409-b2d22411b1ca.json,MOVE-ELEMENT,IA,0bda2331-f590-4b16-9409-b2d22411b1ca.json,2021-09-27 18:34:59,2021-09-27 18:34:59,good
Case a96c510e-687c-4889-8d21-a4444cd08de0.json,BEGIN-LINK,DY,a96c510e-687c-4889-8d21-a4444cd08de0.json,2021-09-28 18:57:14,2021-09-28 18:57:14,bad
Case a96c510e-687c-4889-8d21-a4444cd08de0.json,BEGIN-LINK,DJ,a96c510e-687c-4889-8d21-a4444cd08de0.json,2021-09-28 18:57:27,2021-09-28 18:57:27,bad
Case a96c510e-687c-4889-8d21-a4444cd08de0.json,BEGIN-LINK,FY,a96c510e-687c-4889-8d21-a4444cd08de0.json,2021-09-28 18:58:23,2021-09-28 18:58:23,bad
Case a96c510e-687c-4889-8d21-a4444cd08de0.json,BEGIN-LINK,EA,a96c510e-687c-4889-8d21-a4444cd08de0.json,2021-09-28 18:58:42,2021-09-28 18:58:42,good
Case a9ad2164-9ec7-47e7-9e15-9214ecadd879.json,BEGIN-LINK,BC,a9ad2164-9ec7-47e7-9e15-9214ecadd879.json,2021-09-22 20:11:52,2021-09-22 20:11:52,bad
Case a9ad2164-9ec7-47e7-9e15-9214ecadd879.json,BEGIN-LINK,FY,a9ad2164-9ec7-47e7-9e15-9214ecadd879.json,2021-09-22 20:12:14,2021-09-22 20:12:14,bad
Case a9ad2164-9ec7-47e7-9e15-9214ecadd879.json,BEGIN-LINK,FH,a9ad2164-9ec7-47e7-9e15-9214ecadd879.json,2021-09-22 20:12:19,2021-09-22 20:12:19,bad
Case a9ad2164-9ec7-47e7-9e15-9214ecadd879.json,BEGIN-LINK,DY,a9ad2164-9ec7-47e7-9e15-9214ecadd879.json,2021-09-22 20:12:28,2021-09-22 20:12:28,bad
Case a9ad2164-9ec7-47e7-9e15-9214ecadd879.json,BEGIN-LINK,DJ,a9ad2164-9ec7-47e7-9e15-9214ecadd879.json,2021-09-22 20:12:31,2021-09-22 20:12:31,bad
Case 776ac684-6591-4c40-a6f7-443ef4c8855b.json,BEGIN-LINK,DJ,776ac684-6591-4c40-a6f7-443ef4c8855b.json,2021-09-29 21:44:27,2021-09-29 21:44:27,bad
Case 776ac684-6591-4c40-a6f7-443ef4c8855b.json,BEGIN-LINK,FA,776ac684-6591-4c40-a6f7-443ef4c8855b.json,2021-09-29 21:45:03,2021-09-29 21:45:03,bad
Case 776ac684-6591-4c40-a6f7-443ef4c8855b.json,MOVE-ELEMENT,DJ,776ac684-6591-4c40-a6f7-443ef4c8855b.json,2021-09-29 21:45:37,2021-09-29 21:45:37,bad
Case 776ac684-6591-4c40-a6f7-443ef4c8855b.json,BEGIN-LINK,DY,776ac684-6591-4c40-a6f7-443ef4c8855b.json,2021-09-29 21:45:37,2021-09-29 21:45:37,bad
Case 776ac684-6591-4c40-a6f7-443ef4c8855b.json,MOVE-ELEMENT,FA,776ac684-6591-4c40-a6f7-443ef4c8855b.json,2021-09-29 21:45:46,2021-09-29 21:45:46,bad
Case 776ac684-6591-4c40-a6f7-443ef4c8855b.json,BEGIN-LINK,FY,776ac684-6591-4c40-a6f7-443ef4c8855b.json,2021-09-29 21:45:49,2021-09-29 21:45:49,bad
Case 776ac684-6591-4c40-a6f7-443ef4c8855b.json,MOVE-ELEMENT,BJ,776ac684-6591-4c40-a6f7-443ef4c8855b.json,2021-09-29 21:49:00,2021-09-29 21:49:00,bad
Case 776ac684-6591-4c40-a6f7-443ef4c8855b.json,MOVE-ELEMENT,BA,776ac684-6591-4c40-a6f7-443ef4c8855b.json,2021-09-29 21:49:08,2021-09-29 21:49:08,bad
Case 776ac684-6591-4c40-a6f7-443ef4c8855b.json,MOVE-ELEMENT,AJ,776ac684-6591-4c40-a6f7-443ef4c8855b.json,2021-09-29 21:49:51,2021-09-29 21:49:51,good
Case 776ac684-6591-4c40-a6f7-443ef4c8855b.json,MOVE-ELEMENT,EA,776ac684-6591-4c40-a6f7-443ef4c8855b.json,2021-09-29 21:49:59,2021-09-29 21:49:59,good
Case 776ac684-6591-4c40-a6f7-443ef4c8855b.json,MOVE-ELEMENT,EA,776ac684-6591-4c40-a6f7-443ef4c8855b.json,2021-09-29 21:50:01,2021-09-29 21:50:01,good
Case 8f25e0c0-5708-43f2-a927-e4e342b6b5f0.json,BEGIN-LINK,IA,8f25e0c0-5708-43f2-a927-e4e342b6b5f0.json,2021-08-05 20:51:01,2021-08-05 20:51:01,good
Case 8f25e0c0-5708-43f2-a927-e4e342b6b5f0.json,BEGIN-LINK,AJ,8f25e0c0-5708-43f2-a927-e4e342b6b5f0.json,2021-08-05 20:51:03,2021-08-05 20:51:03,good
Case 8f25e0c0-5708-43f2-a927-e4e342b6b5f0.json,BEGIN-LINK,BY,8f25e0c0-5708-43f2-a927-e4e342b6b5f0.json,2021-08-05 20:51:04,2021-08-05 20:51:04,good
Case 975572d2-1e6f-4d20-aac8-01c45b7abf3b.json,BEGIN-LINK,AY,975572d2-1e6f-4d20-aac8-01c45b7abf3b.json,2021-08-05 20:44:23,2021-08-05 20:44:23,bad
Case 975572d2-1e6f-4d20-aac8-01c45b7abf3b.json,BEGIN-LINK,AJ,975572d2-1e6f-4d20-aac8-01c45b7abf3b.json,2021-08-05 20:44:42,2021-08-05 20:44:42,good
Case 975572d2-1e6f-4d20-aac8-01c45b7abf3b.json,BEGIN-LINK,IH,975572d2-1e6f-4d20-aac8-01c45b7abf3b.json,2021-08-05 20:44:53,2021-08-05 20:44:53,good
Case 975572d2-1e6f-4d20-aac8-01c45b7abf3b.json,MOVE-ELEMENT,JH,975572d2-1e6f-4d20-aac8-01c45b7abf3b.json,2021-08-05 20:45:30,2021-08-05 20:45:30,ignore
Case 975572d2-1e6f-4d20-aac8-01c45b7abf3b.json,MOVE-ELEMENT,JH,975572d2-1e6f-4d20-aac8-01c45b7abf3b.json,2021-08-05 20:46:01,2021-08-05 20:46:01,ignore
Case 975572d2-1e6f-4d20-aac8-01c45b7abf3b.json,MOVE-ELEMENT,IH,975572d2-1e6f-4d20-aac8-01c45b7abf3b.json,2021-08-05 20:46:06,2021-08-05 20:46:06,good
Case 975572d2-1e6f-4d20-aac8-01c45b7abf3b.json,MOVE-ELEMENT,WY,975572d2-1e6f-4d20-aac8-01c45b7abf3b.json,2021-08-05 20:46:40,2021-08-05 20:46:40,good
Case e1789fd0-1ec8-45ed-abd2-0789de029f46.json,BEGIN-LINK,JY,e1789fd0-1ec8-45ed-abd2-0789de029f46.json,2021-08-05 19:28:22,2021-08-05 19:28:22,bad
Case e1789fd0-1ec8-45ed-abd2-0789de029f46.json,BEGIN-LINK,FY,e1789fd0-1ec8-45ed-abd2-0789de029f46.json,2021-08-05 19:28:26,2021-08-05 19:28:26,bad
Case e1789fd0-1ec8-45ed-abd2-0789de029f46.json,BEGIN-LINK,AJ,e1789fd0-1ec8-45ed-abd2-0789de029f46.json,2021-08-05 19:28:46,2021-08-05 19:28:46,good
Case e1789fd0-1ec8-45ed-abd2-0789de029f46.json,BEGIN-LINK,EA,e1789fd0-1ec8-45ed-abd2-0789de029f46.json,2021-08-05 19:28:54,2021-08-05 19:28:54,good
Case cbe59e7f-1459-49f7-82f3-607b313de412.json,BEGIN-LINK,AJ,cbe59e7f-1459-49f7-82f3-607b313de412.json,2022-03-18 22:41:35,2022-03-18 22:41:35,good
Case cbe59e7f-1459-49f7-82f3-607b313de412.json,BEGIN-LINK,IA,cbe59e7f-1459-49f7-82f3-607b313de412.json,2022-03-18 22:41:44,2022-03-18 22:41:44,good
Case cbe59e7f-1459-49f7-82f3-607b313de412.json,BEGIN-LINK,ZY,cbe59e7f-1459-49f7-82f3-607b313de412.json,2022-03-18 22:41:47,2022-03-18 22:41:47,good
Case 8377ce30-a413-4c17-8da5-49e5bc309b3f.json,BEGIN-LINK,AJ,8377ce30-a413-4c17-8da5-49e5bc309b3f.json,2021-09-27 18:29:01,2021-09-27 18:29:01,good
Case 8377ce30-a413-4c17-8da5-49e5bc309b3f.json,BEGIN-LINK,IH,8377ce30-a413-4c17-8da5-49e5bc309b3f.json,2021-09-27 18:29:18,2021-09-27 18:29:18,good
Case 62af7ea0-3a97-4324-a157-91b48f4bd787.json,BEGIN-LINK,HJ,62af7ea0-3a97-4324-a157-91b48f4bd787.json,2021-08-05 20:40:09,2021-08-05 20:40:09,bad
Case 62af7ea0-3a97-4324-a157-91b48f4bd787.json,MOVE-ELEMENT,XJ,62af7ea0-3a97-4324-a157-91b48f4bd787.json,2021-08-05 20:40:24,2021-08-05 20:40:24,ignore
Case 62af7ea0-3a97-4324-a157-91b48f4bd787.json,MOVE-ELEMENT,AJ,62af7ea0-3a97-4324-a157-91b48f4bd787.json,2021-08-05 20:40:26,2021-08-05 20:40:26,good
Case 62af7ea0-3a97-4324-a157-91b48f4bd787.json,MOVE-ELEMENT,AJ,62af7ea0-3a97-4324-a157-91b48f4bd787.json,2021-08-05 20:40:34,2021-08-05 20:40:34,good
Case 62af7ea0-3a97-4324-a157-91b48f4bd787.json,BEGIN-LINK,AY,62af7ea0-3a97-4324-a157-91b48f4bd787.json,2021-08-05 20:40:54,2021-08-05 20:40:54,bad
Case 62af7ea0-3a97-4324-a157-91b48f4bd787.json,MOVE-ELEMENT,FY,62af7ea0-3a97-4324-a157-91b48f4bd787.json,2021-08-05 20:41:02,2021-08-05 20:41:02,bad
Case 62af7ea0-3a97-4324-a157-91b48f4bd787.json,MOVE-ELEMENT,FY,62af7ea0-3a97-4324-a157-91b48f4bd787.json,2021-08-05 20:41:04,2021-08-05 20:41:04,bad
Case 62af7ea0-3a97-4324-a157-91b48f4bd787.json,BEGIN-LINK,DY,62af7ea0-3a97-4324-a157-91b48f4bd787.json,2021-08-05 20:41:11,2021-08-05 20:41:11,bad
Case 62af7ea0-3a97-4324-a157-91b48f4bd787.json,BEGIN-LINK,EH,62af7ea0-3a97-4324-a157-91b48f4bd787.json,2021-08-05 20:41:37,2021-08-05 20:41:37,good
Case f37b8cd6-dfd3-455f-8256-60b4718715cd.json,BEGIN-LINK,AJ,f37b8cd6-dfd3-455f-8256-60b4718715cd.json,2021-08-05 20:53:34,2021-08-05 20:53:34,good
Case f37b8cd6-dfd3-455f-8256-60b4718715cd.json,BEGIN-LINK,ZY,f37b8cd6-dfd3-455f-8256-60b4718715cd.json,2021-08-05 20:53:38,2021-08-05 20:53:38,good
Case f37b8cd6-dfd3-455f-8256-60b4718715cd.json,BEGIN-LINK,IH,f37b8cd6-dfd3-455f-8256-60b4718715cd.json,2021-08-05 20:53:40,2021-08-05 20:53:40,good
